nl	en	fr	de	references	usage	description
Paal	Pile	Pilotis	Stiel	Haslinghuis	Staander	Use for timber, steel, or precast concrete columns serving as subsurface supports for vertical loads; distinct from piers (foundation components) which are larger and are never clustered; Use for square, upright supports, usually of wood, and for similar metal elements when relatively isolated. For square uprights in classical style, and for square and rectangular masonry uprights, use piers (supporting elements); for most cylindrical uprights, and for all uprights in steel and concrete frames, use columns (architectural elements).
Paal	Pile	Poteau	Stiel	Haslinghuis	Staander	Use for timber, steel, or precast concrete columns serving as subsurface supports for vertical loads; distinct from piers (foundation components) which are larger and are never clustered; Use for square, upright supports, usually of wood, and for similar metal elements when relatively isolated. For square uprights in classical style, and for square and rectangular masonry uprights, use piers (supporting elements); for most cylindrical uprights, and for all uprights in steel and concrete frames, use columns (architectural elements).
Paal	Pile	Poteau	Stiel	Haslinghuis	Staander	Use for timber, steel, or precast concrete columns serving as subsurface supports for vertical loads; distinct from piers (foundation components) which are larger and are never clustered; Use for square, upright supports, usually of wood, and for similar metal elements when relatively isolated. For square uprights in classical style, and for square and rectangular masonry uprights, use piers (supporting elements); for most cylindrical uprights, and for all uprights in steel and concrete frames, use columns (architectural elements).
Paal	Post	Pilotis	Stiel	AAT/ABR	Staander	Use for timber, steel, or precast concrete columns serving as subsurface supports for vertical loads; distinct from piers (foundation components) which are larger and are never clustered; Use for square, upright supports, usually of wood, and for similar metal elements when relatively isolated. For square uprights in classical style, and for square and rectangular masonry uprights, use piers (supporting elements); for most cylindrical uprights, and for all uprights in steel and concrete frames, use columns (architectural elements).
Paal	Post	Poteau	Stiel	AAT/ABR	Staander	Use for timber, steel, or precast concrete columns serving as subsurface supports for vertical loads; distinct from piers (foundation components) which are larger and are never clustered; Use for square, upright supports, usually of wood, and for similar metal elements when relatively isolated. For square uprights in classical style, and for square and rectangular masonry uprights, use piers (supporting elements); for most cylindrical uprights, and for all uprights in steel and concrete frames, use columns (architectural elements).
Paalgat	Post hole	  Inconnu	Pfostenloch	ABR		
Paalkuil	Post hole	  Inconnu	Pfostenloch	ABR		
pakketboot	packet, packet boat	paquebot	Paketboot	Schepen van de Gouden Eeuw, Verzameling van 84 stuks Hollandsche schepen, Fluiten, Katten en Fregatten		shipsterm
Paleis	Palace	Palais	Palast	AAT/Haslinghuis		Use for official residences, frequently large and impressively appointed, of sovereigns or other high dignitaries; for other large stately dwellings but not official residences, use mansions.
Palissade	Palisade	Palissade	Palisade	AAT/ABR	Paalwerk	Barriers composed of long stakes, usually with pointed tops, driven into the earth close together, sometimes connected by horizontal beams
Palissade	Piling	Palissade	Palisade	AAT/ABR	Paalwerk	Barriers composed of long stakes, usually with pointed tops, driven into the earth close together, sometimes connected by horizontal beams
Palissade	Timber stockade	Palissade	Pfahlwerk	AAT/ABR	Paalwerk	Barriers composed of long stakes, usually with pointed tops, driven into the earth close together, sometimes connected by horizontal beams
Paneel	Pane	Panneau	Feld	AAT/Haslinghuis		Wood in the form of broad, thin, flat or sometimes curved pieces as, for example, in polyptychs, doors, and plywood construction
Paneel	Panel	Panneau	Feld	AAT/Haslinghuis		Wood in the form of broad, thin, flat or sometimes curved pieces as, for example, in polyptychs, doors, and plywood construction
Paneel	Pane	Panneau	Füllung	AAT/Haslinghuis		Wood in the form of broad, thin, flat or sometimes curved pieces as, for example, in polyptychs, doors, and plywood construction
Paneel	Panel	Panneau	Füllung	AAT/Haslinghuis		Wood in the form of broad, thin, flat or sometimes curved pieces as, for example, in polyptychs, doors, and plywood construction
Paneel	Pane	Panneau	Paneel	AAT/Haslinghuis		Wood in the form of broad, thin, flat or sometimes curved pieces as, for example, in polyptychs, doors, and plywood construction
Paneel	Panel	Panneau	Paneel	AAT		Areas within an ornamental scheme, usually rectangular and enframed. In bookbinding, also includes spaces on the sides of a book or between the bands on the spine; Areas within an ornamental scheme, usually rectangular and enframed. In bookbinding, also includes spaces on the sides of a book or between the bands on the spine
Panlat	Tile lath	Liteau	Dachlatte	Haslinghuis		
Panlat	Tile lath	Volige	Dachlatte	Haslinghuis		
pardoen	backstay	galhauban	Pardune	New Universal Dictionary of the Marine, The Young Sea Officer's Sheet Anchor, Elements and Practice of Rigging and Seamanship, van Dale		shipsterm
Pastorie	Parsonage	Cure	Pfarrei	AAT/Haslinghuis		The residences provided for clergymen, usually parsons/vicars
Pastorie	Parsonage	Presbytère	Pfarrei	AAT/Haslinghuis		The residences provided for clergymen, usually parsons/vicars
Pastorie	Vicarage	Cure	Pfarrei	AAT/Haslinghuis		The residences provided for clergymen, usually parsons/vicars
Pastorie	Vicarage	Presbytère	Pfarrei	AAT/Haslinghuis		The residences provided for clergymen, usually parsons/vicars
Paviljoen	Pavillion	Pavillon	Pavillon	Haslinghuis/AAT		Use both for the parts of buildings that project outward from the rest, especially common as corner, central, or terminal features in French architecture, and for the detached or semidetached units into which a building (as a hospital) is sometimes divided
Peddel	Paddle	Pagaie	Paddel			
peddel	paddle 	pagaye	Paddel 	Nautical Dictionary, Middelnederlands Handwoordenboek, NAVIS		shipsterm
Pen	Tenon	Tenon	Zapf	Haslinghuis		
Pen/pin	Peg	Cheville	Nagel	Haslinghuis		
penterbalk	fish davit	davier	Fischdavit	Malaria en Malaise, Fluiten, Katten en Fregatten, het VOC-retourschip, Pieter van Dam's beschrijvinghe, Galle		shipsterm
penterbalk	fish davit	davier minot	Fischdavit	Malaria en Malaise, Fluiten, Katten en Fregatten, het VOC-retourschip, Pieter van Dam's beschrijvinghe, Galle		shipsterm
penterbalk	fish davit	homme de bois	Fischdavit	Malaria en Malaise, Fluiten, Katten en Fregatten, het VOC-retourschip, Pieter van Dam's beschrijvinghe, Galle		shipsterm
penterbalk	fish davit	petit bossoir	Fischdavit	Malaria en Malaise, Fluiten, Katten en Fregatten, het VOC-retourschip, Pieter van Dam's beschrijvinghe, Galle		shipsterm
Philibertskap	Philibert roof	ferme Philibert	Bohlendach	Haslinghuis		
Philibertspant	Philibert truss	Charpente à la Philibert de l’Orme	Bohlenbinder	Haslinghuis		
piekstuk	crutch	cornet	eingezogenes Bauchstück	Malaria en Malaise, Fluiten, Katten en Fregatten, het VOC-retourschip, Pieter van Dam's beschrijvinghe, Galle		shipsterm
piekstuk	crutch	fourcat	eingezogenes Bauchstück	Malaria en Malaise, Fluiten, Katten en Fregatten, het VOC-retourschip, Pieter van Dam's beschrijvinghe, Galle		shipsterm
piekstuk	crutch	varangué acculée	eingezogenes Bauchstück	Malaria en Malaise, Fluiten, Katten en Fregatten, het VOC-retourschip, Pieter van Dam's beschrijvinghe, Galle		shipsterm
piekstuk	rising floor timber	cornet	eingezogenes Bauchstück	Malaria en Malaise, Fluiten, Katten en Fregatten, het VOC-retourschip, Pieter van Dam's beschrijvinghe, Galle		shipsterm
piekstuk	rising floor timber	fourcat	eingezogenes Bauchstück	Malaria en Malaise, Fluiten, Katten en Fregatten, het VOC-retourschip, Pieter van Dam's beschrijvinghe, Galle		shipsterm
piekstuk	rising floor timber	varangué acculée	eingezogenes Bauchstück	Malaria en Malaise, Fluiten, Katten en Fregatten, het VOC-retourschip, Pieter van Dam's beschrijvinghe, Galle		shipsterm
Pijler	Pier	Pile	Pfeiler	AAT	Pillar (Eng)	Use for square or rectangular upright, masonry, supporting elements, and for similar elements of wood when classically treated; use also for massive upright supporting elements of any shape in Medieval architecture. For cylindrical uprights, except when Medieval as described above, and for all uprights in steel and concrete frames, use columns (architectural elements); for square wooden uprights when not classically treated, use posts.
Pijler	Pier	Pilier	Pfeiler	AAT	Pillar (Eng)	Use for square or rectangular upright, masonry, supporting elements, and for similar elements of wood when classically treated; use also for massive upright supporting elements of any shape in Medieval architecture. For cylindrical uprights, except when Medieval as described above, and for all uprights in steel and concrete frames, use columns (architectural elements); for square wooden uprights when not classically treated, use posts.
Pijlkoker	Quiver	Carquois	Pfeilköcher	ABR		
Pijlkoker	Arrow shaft	Carquois	Pfeilschaft			
Pilaster	Pilaster	Pilastre	Pilaster	AAT/Haslinghuis		Shallow piers or rectangular columns projecting only slightly from a wall and, in classical architecture, conforming with one of the orders
pinas	pinnace	pinasse	Pinass	Schepen van de Gouden Eeuw, Verzameling van 84 stuks Hollandsche schepen, Fluiten, Katten en Fregatten		shipsterm
pink	pink	pinque	Pink	Schepen van de Gouden Eeuw, Verzameling van 84 stuks Hollandsche schepen, Fluiten, Katten en Fregatten		shipsterm
Plaat	Plate	feuille	Bohle	Haslinghuis		
Plaat	Plate	Panneau	Bohle	Haslinghuis		
Plaat	Plate	feuille	Rähm	Haslinghuis		
Plaat	Plate	Panneau	Rähm	Haslinghuis		
Plaat	Plaque	Plaque	Tafel	Haslinghuis		
Plafond	Ceiling	Plafond	Decke	AAT/Haslinghuis		The overhead surfaces of interior spaces, sometimes constructed to mask building systems or structural elements
Plafondbalk	Joist	Poutre	Deckenbalken	Haslinghuis		
Plafondbalk	Joist	Poutre	Deckenbohle	Haslinghuis		
Plank	Board	Planche	Brett	AAT/ABR/Haslinghuis		Long, wide, square-sawn thick piece of wood; Thin, flat, rigid objects, of considerable length or breadth compared to thickness, most often of wood, paperboard, or composite fiber materials.
Plank	Plank	madrier	Brett	Haslinghuis		Long, wide, square-sawn thick piece of wood; Thin, flat, rigid objects, of considerable length or breadth compared to thickness, most often of wood, paperboard, or composite fiber materials.
Plank	Plank	Planche	Brett	AAT/ABR/Haslinghuis		Long, wide, square-sawn thick piece of wood; Thin, flat, rigid objects, of considerable length or breadth compared to thickness, most often of wood, paperboard, or composite fiber materials.
plank	plank 	bordage	Planke 	Nautical Dictionary, Middelnederlands Handwoordenboek, NAVIS		shipsterm
plank	plank 	planche	Planke 	Nautical Dictionary, Middelnederlands Handwoordenboek, NAVIS		shipsterm
Plat dak	Flat roof	Toit plate-forme	Flaches Dach	Haslinghuis		
platbodem	flat bottomed vessel 	navire à fond plat	Plattbode(schiff) 	Nautical Dictionary, Middelnederlands Handwoordenboek, NAVIS		shipsterm
Platbodem/platboomd schip	Flatboat	Bateau à fond plat	Plattbodenboot	Morel		
Platbodem/platboomd schip	Flat-bottomed vessel/boat	Bateau à fond plat	Plattbodenboot	Morel		
platboomd schip	flat bottomed vessel 	navire à fond plat	Plattbodenschiff 	Nautical Dictionary, Middelnederlands Handwoordenboek, NAVIS		shipsterm
Platform	Platform	Plateforme	Plattform	Haslinghuis		
platte bodem	flat bottom [GB]	sole	Plattboden [All.]	Nautical Dictionary, Middelnederlands Handwoordenboek, NAVIS		shipsterm
plecht	after deck	tille	Plicht 	Nautical Dictionary, Middelnederlands Handwoordenboek, NAVIS		shipsterm
plecht	cuddy	tille	Plicht 	Nautical Dictionary, Middelnederlands Handwoordenboek, NAVIS		shipsterm
plecht	forward deck 	tille	Plicht 	Nautical Dictionary, Middelnederlands Handwoordenboek, NAVIS		shipsterm
Podium	Platform	Estrade	Plattform	Haslinghuis		
pomp	pump 	pompe	Pumpe 	Nautical Dictionary, Middelnederlands Handwoordenboek, NAVIS		shipsterm
